index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
358,evs_check,Comments on data checking,0,0,0,0,0,0,evs,notes,c,,,,,,,,,MT,,,evs_comentarios,Comentários sobre conferência,exercise_vital_sign,
359,evs_complete,Formulário exercise_vital_sign completo?,0,0,1,1,1,0,evs,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,MU,"data$evs_complete.factor = factor(data$evs_complete,levels=c(""0"",""1"",""2"")) # evs_complete 74","levels(data$evs_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # evs_complete 72",exercise_vital_sign_complete,Complete?,exercise_vital_sign,Form exercise_vital_sign complete?
360,alcohol_frequency,Consumo frequente de álcool?,1,0,1,0,1,0,alcohol,radio,f,"0, Nunca: Não consome bebidas alcoólicas | 1, Ocasionalmente: Consumo esporádico, em ocasiões especiais | 3, Regularmente: Consumo em uma base consistente, mas não diariamente | 4, Diariamente: Consumo de álcool todos os dias | 5, Ex-etilista",,,,,,y,,MV,"data$alcohol_frequency.factor = factor(data$alcohol_frequency,levels=c(""0"",""1"",""3"",""4"",""5"")) # alcohol_frequency 92","levels(data$alcohol_frequency.factor)=c(""Nunca: Não consome bebidas alcoólicas"",""Ocasionalmente: Consumo esporádico, em ocasiões especiais"",""Regularmente: Consumo em uma base consistente, mas não diariamente"",""Diariamente: Consumo de álcool todos os dias"",""Ex-etilista"") # alcohol_frequency 270",alcoholhistory,O participante consome bebidas alcoólicas frequentemente?,consumo_alcool,Frequent alcohol consumption?
361,alcohol_stopped_years_ago,Anos desde que parou de beber?,0,0,1,0,1,0,alcohol,radio,f,"1, Menos de 1 ano | 2, 1 a 5 anos | 3, 5 a 10 anos | 4, 10 a 20 anos | 5, Mais de 20 anos",,,,,"[alcoholhistory]=""5""",y,,MW,"data$alcohol_stopped_years_ago.factor = factor(data$alcohol_stopped_years_ago,levels=c(""1"",""2"",""3"",""4"",""5"")) # alcohol_stopped_years_ago 108","levels(data$alcohol_stopped_years_ago.factor)=c(""Menos de 1 ano"",""1 a 5 anos"",""5 a 10 anos"",""10 a 20 anos"",""Mais de 20 anos"") # alcohol_stopped_years_ago 125",alcoholstoppedage,Parou de beber há quantos anos?,consumo_alcool,Years since stopped drinking?
362,years_drinks_alcohol,Anos de consumo de álcool,1,0,1,0,1,0,alcohol,radio,f,"1, Menos de 2 anos | 2, 2 a 5 anos | 3, 5 a 10 anos | 4, 10 a 20 anos | 5, Mais de 20 anos",,,,,[alcoholhistory] = '3' or [alcoholhistory] = '4',y,,MX,"data$years_drinks_alcohol.factor = factor(data$years_drinks_alcohol,levels=c(""1"",""2"",""3"",""4"",""5"")) # years_drinks_alcohol 98","levels(data$years_drinks_alcohol.factor)=c(""Menos de 2 anos"",""2 a 5 anos"",""5 a 10 anos"",""10 a 20 anos"",""Mais de 20 anos"") # years_drinks_alcohol 121",alcoholyears,Há quantos anos o participante consome álcool?,consumo_alcool,Years of alcohol consumption
363,beer_yn,Álcool (Cerveja),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,MY,"data$beer_yn.factor = factor(data$beer_yn,levels=c(""0"",""1"")) # beer_yn 60","levels(data$beer_yn.factor)=c(""Unchecked"",""Checked"") # beer_yn 52",alcoholtype___1,Tipo de bebida alcoólica consumida (choice=Cerveja),consumo_alcool,Alcohol (Beer)
364,wine_yn,Álcool (Vinho),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,MZ,"data$wine_yn.factor = factor(data$wine_yn,levels=c(""0"",""1"")) # wine_yn 60","levels(data$wine_yn.factor)=c(""Unchecked"",""Checked"") # wine_yn 52",alcoholtype___2,Tipo de bebida alcoólica consumida (choice=Vinho),consumo_alcool,Alcohol (Wine)
365,spirit_yn,"Álcool (Cachaça, whisky ou vodka)",0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NA,"data$spirit_yn.factor = factor(data$spirit_yn,levels=c(""0"",""1"")) # spirit_yn 64","levels(data$spirit_yn.factor)=c(""Unchecked"",""Checked"") # spirit_yn 54",alcoholtype___3,"Tipo de bebida alcoólica consumida (choice=Cachaça, whisky ou vodka)",consumo_alcool,Alcohol (Cachaça
366,alcohol_type_other,Álcool (Outro (especificar)),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NB,"data$alcohol_type_other.factor = factor(data$alcohol_type_other,levels=c(""0"",""1"")) # alcohol_type_other 82","levels(data$alcohol_type_other.factor)=c(""Unchecked"",""Checked"") # alcohol_type_other 63",alcoholtype___9,Tipo de bebida alcoólica consumida (choice=Outro (especificar)),consumo_alcool,Alcohol (Other
367,alcohol_type_no_info,Álcool (No information),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NC,"data$alcohol_type_no_info.factor = factor(data$alcohol_type_no_info,levels=c(""0"",""1"")) # alcohol_type_no_info 86","levels(data$alcohol_type_no_info.factor)=c(""Unchecked"",""Checked"") # alcohol_type_no_info 65",alcoholtype___ni,Tipo de bebida alcoólica consumida (choice=No information),consumo_alcool,Alcohol (No information)
368,alcohol_type_unknown,Álcool (Unknown),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,ND,"data$alcohol_type_unknown.factor = factor(data$alcohol_type_unknown,levels=c(""0"",""1"")) # alcohol_type_unknown 86","levels(data$alcohol_type_unknown.factor)=c(""Unchecked"",""Checked"") # alcohol_type_unknown 65",alcoholtype___unk,Tipo de bebida alcoólica consumida (choice=Unknown),consumo_alcool,Alcohol (Unknown)
369,alcohol_type_not_asked,Álcool (Not asked),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NE,"data$alcohol_type_not_asked.factor = factor(data$alcohol_type_not_asked,levels=c(""0"",""1"")) # alcohol_type_not_asked 90","levels(data$alcohol_type_not_asked.factor)=c(""Unchecked"",""Checked"") # alcohol_type_not_asked 67",alcoholtype___nask,Tipo de bebida alcoólica consumida (choice=Not asked),consumo_alcool,Alcohol (Not asked)
370,alcohol_type_asked_unknown,Álcool (Asked but unknown),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NF,"data$alcohol_type_asked_unknown.factor = factor(data$alcohol_type_asked_unknown,levels=c(""0"",""1"")) # alcohol_type_asked_unknown 98","levels(data$alcohol_type_asked_unknown.factor)=c(""Unchecked"",""Checked"") # alcohol_type_asked_unknown 71",alcoholtype___asku,Tipo de bebida alcoólica consumida (choice=Asked but unknown),consumo_alcool,Alcohol (Asked but unknown)
371,alcohol_type_invalid,Álcool (Invalid),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NG,"data$alcohol_type_invalid.factor = factor(data$alcohol_type_invalid,levels=c(""0"",""1"")) # alcohol_type_invalid 86","levels(data$alcohol_type_invalid.factor)=c(""Unchecked"",""Checked"") # alcohol_type_invalid 65",alcoholtype___inv,Tipo de bebida alcoólica consumida (choice=Invalid),consumo_alcool,Alcohol (Invalid)
372,alcohol_type_na,Álcool (Not applicable),0,0,1,0,1,0,alcohol,radio,f,"0, Não | 1, Sim",,,,,,,,NH,"data$alcohol_type_na.factor = factor(data$alcohol_type_na,levels=c(""0"",""1"")) # alcohol_type_na 76","levels(data$alcohol_type_na.factor)=c(""Unchecked"",""Checked"") # alcohol_type_na 60",alcoholtype___na,Tipo de bebida alcoólica consumida (choice=Not applicable),consumo_alcool,Alcohol (Not applicable)
373,beer_per_week,Cervejas/semana,0,0,1,0,1,0,alcohol,text,i,,,integer,,,[alcoholtype(1)]=1,y," @PLACEHOLDER=""número inteiro""",NI,,,beer,Quantas latas por semana? (1 lata = 350 ml),consumo_alcool,Beers per week
374,beer_dose,Doses de cerveja/semana,0,0,1,0,1,0,alcohol,calc,d,"round((([beer]*350*0.05*0.789)/14),2)",,,,,"[beer]<>""""",y,,NJ,,,beerdose,Doses por semana,consumo_alcool,Beer doses per week
375,wine_ml_per_week,Vinho/semana (ml),0,0,1,0,1,0,alcohol,text,i,,,integer,,,[alcoholtype(2)]=1,y," @PLACEHOLDER=""número inteiro""",NK,,,wine,Quantos ml por semana? (1 garrafa = 750 ml),consumo_alcool,Wine per week (ml)
376,wine_dose,Doses de vinho/sem,0,0,1,0,1,0,alcohol,calc,d,"round((([wine]*0.12*0.789)/14),2)",,,,,"[wine]<>""""",y,,NL,,,winedose,Doses por semana,consumo_alcool,Wine doses per week
377,distilled_ml_per_week,Destilados/semana (ml),0,0,1,0,1,0,alcohol,text,i,,,integer,,,[alcoholtype(3)]=1,y," @PLACEHOLDER=""número inteiro""",NM,,,destilled,Quantos ml por semana? (1 dose = 40 ml / 1 corote = 500 ml),consumo_alcool,Spirits per week (ml)
378,spirit_dose,Doses de bebida/sem,0,0,1,0,1,0,alcohol,calc,d,"round((([destilled]*0.4*0.789)/14),2)",,,,,"[destilled]<>""""",y,,NN,,,destilleddose,Doses por semana,consumo_alcool,Spirit doses per week
379,alcohol_type_other_specify,Outro tipo de álcool (especifique),0,0,1,0,1,0,alcohol,text,c,,,,,,[alcoholtype(9)]=1,y,,NO,,,alcoholtypeother,Outro (favor especificar),consumo_alcool,Other alcohol type (specify)
380,alcohol_other_doses_per_week,Doses de álcool/semana,0,0,1,0,1,0,alcohol,text,d,,,number,,,[alcoholtype(9)]=1,y,,NP,,,alcoholtypeotherdose,Quantas doses por semana? (1 dose = 14g de álcool),consumo_alcool,Alcohol doses per week
381,alcohol_dose,Doses de álcool/semana,1,0,1,0,1,0,alcohol,calc,d,"round(sum([alcoholtypeotherdose],[beerdose],[winedose],[destilleddose]),2)",,,,,[alcoholhistory] = '3' or [alcoholhistory] = '4',,"Fonte: The Basics, Defining How Much Alcohol is Too Much, NIAAA",NQ,,,alcoholtotal,"Consumo total de álcool por semana, expresso em doses (1 dose = 14g de etanol)",consumo_alcool,Alcohol doses per week
382,alcohol_significant,Consumo de álcool significativo?,1,0,1,0,1,0,alcohol,calc,d,"if([alcoholyears]=1, 0, if([sex]=1, if([alcoholtotal]>14, 1, 0), if([alcoholtotal]>21, 1, 0)))",,,,,,,,NR,,,alcoholsignificant,Consumo significativo?1 = consumo significativo de álcool0 = consumo não significativo de álcool,consumo_alcool,Significant alcohol consumption?
383,alcohol_complete,Formulário consumo_alcool completo?,0,0,1,0,1,0,alcohol,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,NS,"data$alcohol_complete.factor = factor(data$alcohol_complete,levels=c(""0"",""1"",""2"")) # alcohol_complete 82","levels(data$alcohol_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # alcohol_complete 76",consumo_alcool_complete,Complete?,consumo_alcool,Form consumo_alcool complete?
384,smoke_history,Histórico de tabagismo,1,0,1,0,1,0,tobacco,radio,f,"0, Não | 1, Sim, e continua fumando | 2, Sim, mas parou",,,,,,,,NT,"data$smoke_history.factor = factor(data$smoke_history,levels=c(""0"",""1"",""2"")) # smoke_history 76","levels(data$smoke_history.factor)=c(""Não"",""Sim, e continua fumando"",""Sim, mas parou"") # smoke_history 85",smokehistory,Histórico de tabagismo: Fumou pelo menos 100 cigarros (5 maços) durante a vida?,consumo_tabaco,Smoking history
385,age_started_smoking,Idade início fumo,1,0,1,0,1,0,tobacco,text,d,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,NU,,,smokeagestart,Idade que começou a fumar (anos):,consumo_tabaco,Age started smoking
386,smoked_years,Anos de cigarro,1,0,1,0,1,0,tobacco,text,d,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,NV,,,smokeyears,Número de anos em que fumou cigarros? (anos),consumo_tabaco,Years smoking
387,daily_cigarettes,Cigarros/dia,1,0,1,0,1,0,tobacco,text,d,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,NW,,,cigarettesday,Número médio de cigarros por dia?,consumo_tabaco,Cigarettes per day
388,pack_years,Anos-maço,1,0,1,0,1,0,tobacco,calc,d,([cigarettesday]*[smokeyears])/20,,,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,NX,,,packyears,Anos-maço,consumo_tabaco,Pack-years
389,age_quit_smoking,Idade parou fumo,1,0,1,0,1,0,tobacco,text,d,,,number,,,"[smokehistory]=""2""",,,NY,,,smokeagequit,Idade parou de fumar? (anos),consumo_tabaco,Age quit smoking
390,tobacco_complete,Formulário consumo_tabaco completo?,0,0,1,0,1,0,tobacco,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,NZ,"data$tobacco_complete.factor = factor(data$tobacco_complete,levels=c(""0"",""1"",""2"")) # tobacco_complete 82","levels(data$tobacco_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # tobacco_complete 76",consumo_tabaco_complete,Complete?,consumo_tabaco,Form consumo_tabaco complete?
391,time_1,Horário 1,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OA,,,horario,Horário:,recordatrio_alimentar,Time 1
392,time_2,Horário 2,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OB,,,horario_2,Horário:,recordatrio_alimentar,Time 2
393,time_3,Horário 3,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OC,,,horario_3,Horário:,recordatrio_alimentar,Time 3
394,time_4,Horário 4,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OD,,,horario_4,Horário:,recordatrio_alimentar,Time 4
395,time_5,Horário 5,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OE,,,horario_5,Horário:,recordatrio_alimentar,Time 5
396,time_6,Horário 6,0,0,1,0,1,0,diet_recall,text,t,,NCIT: Time - Code C25207,time,,,,,,OF,,,horario_6,Horário:,recordatrio_alimentar,Time 6
397,food_1,Alimento 1,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OG,,,alimento,Alimento:,recordatrio_alimentar,Food 1
398,food_2,Alimento 2,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OH,,,alimento_2,Alimento:,recordatrio_alimentar,Food 2
399,food_3,Alimento 3,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OI,,,alimento_3,Alimento:,recordatrio_alimentar,Food 3
400,food_4,Alimento 4,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OJ,,,alimento_4,Alimento:,recordatrio_alimentar,Food 4
401,food_5,Alimento 5,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OK,,,alimento_5,Alimento:,recordatrio_alimentar,Food 5
402,food_6,Alimento 6,0,0,1,0,1,0,diet_recall,notes,c,,NCIT: Food - Code C62695,,,,,,,OL,,,alimento_6,Alimento:,recordatrio_alimentar,Food 6
403,observations_1,Observações 1,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",OM,,,obs,Observações:,recordatrio_alimentar,Observations 1
404,observations_2,Observações 2,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",ON,,,obs_2,Observações:,recordatrio_alimentar,Observations 2
405,observations_4,Observações 4,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",OO,,,obs_4,Observações:,recordatrio_alimentar,Observations 4
406,observations_3,Observações 3,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",OP,,,obs_3,Observações:,recordatrio_alimentar,Observations 3
407,observations_5,Observações 5,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",OQ,,,obs_5,Observações:,recordatrio_alimentar,Observations 5
408,observations_6,Observações 6,0,0,1,0,1,0,diet_recall,notes,c,,,,,,,,"NCIT: Comment , Code C25393",OR,,,obs_6,Observações:,recordatrio_alimentar,Observations 6
409,pdf_upload_recordatorio,Upload PDF,0,0,1,0,1,0,diet_recall,file,c,,,,,,,y,,OS,,,pdf_upload,PDF upload,recordatrio_alimentar,PDF Upload
410,diet_recall_complete,Formulário recordatrio_alimentar completo?,0,0,1,0,1,0,diet_recall,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,OT,"data$diet_recall_complete.factor = factor(data$diet_recall_complete,levels=c(""0"",""1"",""2"")) # diet_recall_complete 90","levels(data$diet_recall_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # diet_recall_complete 80",recordatrio_alimentar_complete,Complete?,recordatrio_alimentar,Form recordatrio_alimentar complete?
411,meal_breakfast_yn,Refeição (Café da manhã),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OU,"data$meal_breakfast_yn.factor = factor(data$meal_breakfast_yn,levels=c(""0"",""1"")) # meal_breakfast_yn 80","levels(data$meal_breakfast_yn.factor)=c(""Unchecked"",""Checked"") # meal_breakfast_yn 62",whatmeals___1,Marque as refeições que o participante faz (choice=Café da manhã),recordatrio_alimentar,Meal (Breakfast)
412,meal_morning_snack_yn,Refeição (Lanche da manhã),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OV,"data$meal_morning_snack_yn.factor = factor(data$meal_morning_snack_yn,levels=c(""0"",""1"")) # meal_morning_snack_yn 88","levels(data$meal_morning_snack_yn.factor)=c(""Unchecked"",""Checked"") # meal_morning_snack_yn 66",whatmeals___2,Marque as refeições que o participante faz (choice=Lanche da manhã),recordatrio_alimentar,Meal (Morning snack)
413,meal_lunch_yn,Refeição (Almoço),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OW,"data$meal_lunch_yn.factor = factor(data$meal_lunch_yn,levels=c(""0"",""1"")) # meal_lunch_yn 72","levels(data$meal_lunch_yn.factor)=c(""Unchecked"",""Checked"") # meal_lunch_yn 58",whatmeals___3,Marque as refeições que o participante faz (choice=Almoço),recordatrio_alimentar,Meal (Lunch)
414,meal_afternoon_snack_yn,Refeição (Lanche da tarde),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OX,"data$meal_afternoon_snack_yn.factor = factor(data$meal_afternoon_snack_yn,levels=c(""0"",""1"")) # meal_afternoon_snack_yn 92","levels(data$meal_afternoon_snack_yn.factor)=c(""Unchecked"",""Checked"") # meal_afternoon_snack_yn 68",whatmeals___4,Marque as refeições que o participante faz (choice=Lanche da tarde),recordatrio_alimentar,Meal (Afternoon snack)
415,meal_dinner_yn,Refeição (Jantar),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OY,"data$meal_dinner_yn.factor = factor(data$meal_dinner_yn,levels=c(""0"",""1"")) # meal_dinner_yn 74","levels(data$meal_dinner_yn.factor)=c(""Unchecked"",""Checked"") # meal_dinner_yn 59",whatmeals___5,Marque as refeições que o participante faz (choice=Jantar),recordatrio_alimentar,Meal (Dinner)
416,meal_supper_yn,Refeição (Ceia),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,OZ,"data$meal_supper_yn.factor = factor(data$meal_supper_yn,levels=c(""0"",""1"")) # meal_supper_yn 74","levels(data$meal_supper_yn.factor)=c(""Unchecked"",""Checked"") # meal_supper_yn 59",whatmeals___6,Marque as refeições que o participante faz (choice=Ceia),recordatrio_alimentar,Meal (Supper)
417,meal_no_info,Refeições (sem info),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PA,"data$meal_no_info.factor = factor(data$meal_no_info,levels=c(""0"",""1"")) # meal_no_info 70","levels(data$meal_no_info.factor)=c(""Unchecked"",""Checked"") # meal_no_info 57",whatmeals___ni,Marque as refeições que o participante faz (choice=No information),recordatrio_alimentar,Meals (No information)
418,meal_unknown,Refeições (desconhecido),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PB,"data$meal_unknown.factor = factor(data$meal_unknown,levels=c(""0"",""1"")) # meal_unknown 70","levels(data$meal_unknown.factor)=c(""Unchecked"",""Checked"") # meal_unknown 57",whatmeals___unk,Marque as refeições que o participante faz (choice=Unknown),recordatrio_alimentar,Meals (Unknown)
419,meal_not_asked,Refeições (não perguntado),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PC,"data$meal_not_asked.factor = factor(data$meal_not_asked,levels=c(""0"",""1"")) # meal_not_asked 74","levels(data$meal_not_asked.factor)=c(""Unchecked"",""Checked"") # meal_not_asked 59",whatmeals___nask,Marque as refeições que o participante faz (choice=Not asked),recordatrio_alimentar,Meals (Not asked)
420,meal_asked_unknown,Refeição (Asked but unknown),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PD,"data$meal_asked_unknown.factor = factor(data$meal_asked_unknown,levels=c(""0"",""1"")) # meal_asked_unknown 82","levels(data$meal_asked_unknown.factor)=c(""Unchecked"",""Checked"") # meal_asked_unknown 63",whatmeals___asku,Marque as refeições que o participante faz (choice=Asked but unknown),recordatrio_alimentar,Meal (Asked but unknown)
421,meal_invalid,Refeição (Invalid),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PE,"data$meal_invalid.factor = factor(data$meal_invalid,levels=c(""0"",""1"")) # meal_invalid 70","levels(data$meal_invalid.factor)=c(""Unchecked"",""Checked"") # meal_invalid 57",whatmeals___inv,Marque as refeições que o participante faz (choice=Invalid),recordatrio_alimentar,Meal (Invalid)
422,meal_na,Refeições (não aplicável),0,0,1,0,1,0,diet_recall,radio,f,"0, Não | 1, Sim",,,,,,,,PF,"data$meal_na.factor = factor(data$meal_na,levels=c(""0"",""1"")) # meal_na 60","levels(data$meal_na.factor)=c(""Unchecked"",""Checked"") # meal_na 52",whatmeals___na,Marque as refeições que o participante faz (choice=Not applicable),recordatrio_alimentar,Meals (Not applicable)
423,total_energy,Ingestão calórica (kcal),1,0,1,0,1,0,intake,calc,d,"sum([kcaltotal_manha_v2],[kcaltotal_lanchemanha_v2],[kcaltotal_almoco_v2],[kcaltotal_tarde_v2],[kcaltotal_jantar_v2],[kcaltotal_lanchenoturno_v2])",,,,,,,,PG,,,totalkcal,INGESTÃO CALÓRICA TOTAL (kcal):,avaliao_da_ingesto_alimentar,Total caloric intake (kcal)
424,carbs_grams,Carboidratos (g),0,0,1,0,1,0,intake,text,d,,"NCIT: Nutrition, Carbohydrates, Code C15223",number_2dp,,,,y, @PLACEHOLDER = 'ponto + 2 casas decimais',PH,,,carboidratos_v2,Carboidratos em gramas:,avaliao_da_ingesto_alimentar,Carbohydrates (g)
425,carbs_kcal,Kcal de carboidratos,1,0,1,0,1,0,intake,calc,d,[carboidratos_v2]*4,,,,,,y, @PLACEHOLDER = 'ponto para separação',PI,,,kcal_cho_v2,Kcal de CHO:,avaliao_da_ingesto_alimentar,Carbohydrates (kcal)
426,protein_kcal,Kcal de proteína,1,0,1,0,1,0,intake,calc,d,[proteina_v2]*4,,,,,,y, @PLACEHOLDER = 'ponto para separação',PJ,,,kcal_ptn_v2,Kcal de proteína:,avaliao_da_ingesto_alimentar,Protein (kcal)
427,fat_kcal,Kcal de lipídeo,1,0,1,0,1,0,intake,calc,d,[lipideos_v2]*9,,,,,,y, @PLACEHOLDER = 'ponto para separação',PK,,,kcal_lip_v2,Kcal de lipídeo:,avaliao_da_ingesto_alimentar,Fat (kcal)
428,protein_grams,Proteínas (g),0,0,1,0,1,0,intake,text,d,,"NCIT: Nutrition, Protein/Amino Acids, Code C15920",number_2dp,,,,y, @PLACEHOLDER = 'ponto + 2 casas decimais',PL,,,proteina_v2,Proteínas em gramas:  ,avaliao_da_ingesto_alimentar,Protein (g)
429,fat_grams,Lipídeos (g),0,0,1,0,1,0,intake,text,d,,"NCIT: Nutrition, Fats, Code C5224",number_2dp,,,,y, @PLACEHOLDER = 'ponto + 2 casas decimais',PM,,,lipideos_v2,Lipídeos em gramas:    ,avaliao_da_ingesto_alimentar,Fat (g)
430,carbs_morning_g,Carboidratos manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalcho_manha_v2]/4),2)",,,,,,,,PN,,,gramascho_manha_v2,Gramas Carboidrato manhã,avaliao_da_ingesto_alimentar,Morning carbohydrates (g)
431,protein_morning_g,Proteínas manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalptn_manha_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PO,,,gramasptn_manha_v2,Gramas proteina manha:,avaliao_da_ingesto_alimentar,Morning protein (g)
432,fat_morning_g,Lipídeos manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcallip_manha_v2]/9),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PP,,,gramaslip_manha_v2,Gramas lipideos manha:,avaliao_da_ingesto_alimentar,Morning fat (g)
433,fat_morning_snack_g,Lipídeos lanche manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcallip_lanchemanha_v2]/9),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PQ,,,gramaslip_lanchemanha_v2,Gramas lipideos lanche da manha:,avaliao_da_ingesto_alimentar,Morning snack fat (g)
434,carbs_morning_snack_g,Carboidratos lanche manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalcho_lanchemanha_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PR,,,gramascho_lanchemanha_v2,Gramas carboidratos lanche da manha:,avaliao_da_ingesto_alimentar,Morning snack carbohydrates (g)
435,protein_morning_snack_g,Proteínas lanche manhã (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalptn_lanchemanha_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PS,,,gramasptn_lanchemanha_v2,Gramas proteinas lanche da manha:,avaliao_da_ingesto_alimentar,Morning snack protein (g)
436,carbs_lunch_g,Carboidratos almoço (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalcho_almoco_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PT,,,gramascho_almoco_v2,Gramas carboidratos almoço,avaliao_da_ingesto_alimentar,Lunch carbohydrates (g)
437,fat_lunch_g,Lipídeos almoço (g),0,0,1,0,1,0,intake,calc,d,"round(([kcallip_almoco_v2]/9),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PU,,,gramaslip_almoco_v2,Gramas lipideos almoço,avaliao_da_ingesto_alimentar,Lunch fat (g)
438,protein_lunch_g,Proteínas almoço (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalptn_almoco_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PV,,,gramasptn_almoco_v2,Gramas proteinas almoço,avaliao_da_ingesto_alimentar,Lunch protein (g)
439,carbs_afternoon_snack_g,Carboidratos lanche tarde (g),0,0,1,0,1,0,intake,calc,d,"round(([kcalcho_tarde_v2]/4),2)",,,,,,, @PLACEHOLDER = 'ponto + 2 casas decimais',PW,,,gramascho_tarde_v2,Gramas carboidratos lanche da tarde:,avaliao_da_ingesto_alimentar,Afternoon snack carbohydrates (g)
