variable_order,variable_original,variable_recoded,label_original,label_pt,label_en,form_name_pt,form_name_en,field_type,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Field Annotation,eleg_arm_1,1visit_arm_1,2visit_arm_1,3visit_arm_1,Variable column (Original),Included,Factor,Level_pt
344,alergiamar,seafood_allergy,"Alergia a frutos do mar (como camarão, caranguejo, lagosta)",Alergia a frutos do mar?,Seafood allergy?,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: Shellfish Allergy, Code C172320",,1,,,MF,0,"data$seafood_allergy.factor = factor(data$seafood_allergy,levels=c(""c49488"",""c49487"")) # seafood_allergy 86","levels(data$seafood_allergy.factor)=c(""Sim"",""Não"") # seafood_allergy 50"
345,alergia_a_ovos,egg_allergy,Alergia a ovos,Alergia a ovos?,Egg allergy?,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: Egg Allergy, Code C172313",,1,,,MG,0,"data$egg_allergy.factor = factor(data$egg_allergy,levels=c(""c49488"",""c49487"")) # egg_allergy 78","levels(data$egg_allergy.factor)=c(""Sim"",""Não"") # egg_allergy 46"
346,intoler_ncia_a_lactose,lactose_intolerance,Alergia e/ou intolerância a laticínios,Alergia/intolerância a laticínios,Dairy allergy/intolerance,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: Dairy or Lactose Intolerance Allergy, Code C175520",,1,,,MH,1,"data$lactose_intolerance.factor = factor(data$lactose_intolerance,levels=c(""c49488"",""c49487"")) # lactose_intolerance 94","levels(data$lactose_intolerance.factor)=c(""Sim"",""Não"") # lactose_intolerance 54"
347,alergia_ao_trigo_gl_ten_ce,gluten_intolerance,Alergia ao trigo/glúten (celíacos),Alergia ao trigo/glúten,Wheat/gluten allergy,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: Wheat Gluten, Code C84242",,1,,,MI,1,"data$gluten_intolerance.factor = factor(data$gluten_intolerance,levels=c(""c49488"",""c49487"")) # gluten_intolerance 92","levels(data$gluten_intolerance.factor)=c(""Sim"",""Não"") # gluten_intolerance 53"
348,lergia_soja,soy_allergy,Alergia à soja,Alergia à soja?,Soy allergy?,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: Soybean, Code C72010",,1,,,MJ,0,"data$soy_allergy.factor = factor(data$soy_allergy,levels=c(""c49488"",""c49487"")) # soy_allergy 78","levels(data$soy_allergy.factor)=c(""Sim"",""Não"") # soy_allergy 46"
349,alergia_a_peixes_como_salm,fish_allergy,"Alergia a peixes (como salmão, atum, bacalhau)",Alergia a peixes?,Fish allergy?,alergia_alimentar,food allergy,radio,"c49488, Sim | c49487, Não",,,,,[foodallergy] = 'c49488',y,"NCIT: 
Known History of Allergy to Fish, Code C168297",,1,,,MK,0,"data$fish_allergy.factor = factor(data$fish_allergy,levels=c(""c49488"",""c49487"")) # fish_allergy 80","levels(data$fish_allergy.factor)=c(""Sim"",""Não"") # fish_allergy 47"
350,alergia_alimentar_complete,allergy_complete,Complete?,Formulário alergia_alimentar completo?,Form alergia_alimentar complete?,alergia_alimentar,food allergy,radio,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,,1,,,ML,1,"data$allergy_complete.factor = factor(data$allergy_complete,levels=c(""0"",""1"",""2"")) # allergy_complete 82","levels(data$allergy_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # allergy_complete 76"
351,evs_days,evs_days,"Script:'Em média, em quantos dias por semana você realiza atividade física moderada a extenuante, como uma caminhada rápida?'",Dias de atividade física (semana),Days of physical activity (week),exercise_vital_sign,evs,radio,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,y,,,1,1,1,MM,1,"data$evs_days.factor = factor(data$evs_days,levels=c(""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"")) # evs_days 86","levels(data$evs_days.factor)=c(""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"") # evs_days 63"
352,evs_time,evs_time,"Script:  'Em média, por quantos minutos por dia você realiza atividade física neste nível?'(expresso em minutos)",Minutos de atividade física diária,Minutes of daily physical activity,exercise_vital_sign,evs,radio,"0, 0 | 10, 10 | 20, 20 | 30, 30 | 40, 40 | 50, 50 | 60, 60 | 90, 90 | 120, 120 | 150, 150","NCIT:  Physical Activity Measurement, Code - C120914",,,,,y,,,1,1,1,MN,1,"data$evs_time.factor = factor(data$evs_time,levels=c(""0"",""10"",""20"",""30"",""40"",""50"",""60"",""90"",""120"",""150"")) # evs_time 105","levels(data$evs_time.factor)=c(""0"",""10"",""20"",""30"",""40"",""50"",""60"",""90"",""120"",""150"") # evs_time 82"
353,evs_score,evs_score,Escore EVS,Escore EVS,EVS score,exercise_vital_sign,evs,calc,[evs_days]*[evs_time],,,,,,,"Physical Activity Measurement (NCIT: C120914) estimated through Exercise Vital Sign (EVS); Coleman, J.K, et al., 2012. DOI: 10.1249/MSS.0b013e3182630ec1",,1,1,1,MO,1,,
354,phy_activity_1,exercise_type_1,Qual a atividade física principal realizada pelo participante?,Tipo de atividade física principal,Main physical activity type,exercise_vital_sign,evs,dropdown,"1, Alongamento (Stretching; NCIT: C154225) | 2, Aquecimento (Warm-Up; NCIT: C122029) | 3, Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291) | 4, Atividade de Lazer (Leisure Activity; NCIT: C104103) | 5, Boliche (Bowling; NCIT: C172270) | 6, Calistenia (Calisthenics; NCIT: C94739) | 7, Caminhada (Walking) (Walking; NCIT: C73554) | 8, Ciclismo (Bicicleta) (Bicycling; NCIT: C85401) | 9, Corrida leve (Jogging; NCIT: C85398) | 10, Corrida vigorosa (Running; NCIT: C94737) | 11, Dança (Dancing; NCIT: C172269) | 12, Escalada (Climbing; NCIT: C81002) | 13, Levantamento de Peso (Lifting; NCIT: C86567) | 14, Natação (Swimming; NCIT: C94738) | 15, Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795) | 16, Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543) | 17, Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549) | 18, Remada (Seated Row; NCIT: C122031) | 19, Trabalho Leve (Light Work; NCIT: C95545) | 20, Trabalho Pesado (Hard Work; NCIT: C95547) | 21, Treinamento com Resistência (Resistance Training; NCIT: C154219)",,autocomplete,,,[evs_score] <> '' and [evs_score] <> 0,y,Physical Activity (NCIT: C17708),,1,1,1,MP,1,"data$exercise_type_1.factor = factor(data$exercise_type_1,levels=c(""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"")) # exercise_type_1 164","levels(data$exercise_type_1.factor)=c(""Alongamento (Stretching; NCIT: C154225)"",""Aquecimento (Warm-Up; NCIT: C122029)"",""Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291)"",""Atividade de Lazer (Leisure Activity; NCIT: C104103)"",""Boliche (Bowling; NCIT: C172270)"",""Calistenia (Calisthenics; NCIT: C94739)"",""Caminhada (Walking) (Walking; NCIT: C73554)"",""Ciclismo (Bicicleta) (Bicycling; NCIT: C85401)"",""Corrida leve (Jogging; NCIT: C85398)"",""Corrida vigorosa (Running; NCIT: C94737)"",""Dança (Dancing; NCIT: C172269)"",""Escalada (Climbing; NCIT: C81002)"",""Levantamento de Peso (Lifting; NCIT: C86567)"",""Natação (Swimming; NCIT: C94738)"",""Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795)"",""Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543)"",""Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549)"",""Remada (Seated Row; NCIT: C122031)"",""Trabalho Leve (Light Work; NCIT: C95545)"",""Trabalho Pesado (Hard Work; NCIT: C95547)"",""Treinamento com Resistência (Resistance Training; NCIT: C154219)"") # exercise_type_1 1056"
355,phy_activity_2,secondary_physical_activity_yn,O participante realiza alguma atividade física secundária?,Atividade física secundária?,Secondary physical activity?,exercise_vital_sign,evs,dropdown,"0, Não | 1, Alongamento (Stretching; NCIT: C154225) | 2, Aquecimento (Warm-Up; NCIT: C122029) | 3, Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291) | 4, Atividade de Lazer (Leisure Activity; NCIT: C104103) | 5, Boliche (Bowling; NCIT: C172270) | 6, Calistenia (Calisthenics; NCIT: C94739) | 7, Caminhada (Walking) (Walking; NCIT: C73554) | 8, Ciclismo (Bicicleta) (Bicycling; NCIT: C85401) | 9, Corrida leve (Jogging; NCIT: C85398) | 10, Corrida vigorosa (Running; NCIT: C94737) | 11, Dança (Dancing; NCIT: C172269) | 12, Escalada (Climbing; NCIT: C81002) | 13, Levantamento de Peso (Lifting; NCIT: C86567) | 14, Natação (Swimming; NCIT: C94738) | 15, Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795) | 16, Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543) | 17, Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549) | 18, Remada (Seated Row; NCIT: C122031) | 19, Trabalho Leve (Light Work; NCIT: C95545) | 20, Trabalho Pesado (Hard Work; NCIT: C95547) | 21, Treinamento com Resistência (Resistance Training; NCIT: C154219)",,autocomplete,,,[phy_activity_1] <> '',y,Physical Activity (NCIT: C17708),,1,1,1,MQ,0,"data$secondary_physical_activity_yn.factor = factor(data$secondary_physical_activity_yn,levels=c(""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"")) # secondary_physical_activity_yn 198","levels(data$secondary_physical_activity_yn.factor)=c(""Não"",""Alongamento (Stretching; NCIT: C154225)"",""Aquecimento (Warm-Up; NCIT: C122029)"",""Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291)"",""Atividade de Lazer (Leisure Activity; NCIT: C104103)"",""Boliche (Bowling; NCIT: C172270)"",""Calistenia (Calisthenics; NCIT: C94739)"",""Caminhada (Walking) (Walking; NCIT: C73554)"",""Ciclismo (Bicicleta) (Bicycling; NCIT: C85401)"",""Corrida leve (Jogging; NCIT: C85398)"",""Corrida vigorosa (Running; NCIT: C94737)"",""Dança (Dancing; NCIT: C172269)"",""Escalada (Climbing; NCIT: C81002)"",""Levantamento de Peso (Lifting; NCIT: C86567)"",""Natação (Swimming; NCIT: C94738)"",""Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795)"",""Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543)"",""Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549)"",""Remada (Seated Row; NCIT: C122031)"",""Trabalho Leve (Light Work; NCIT: C95545)"",""Trabalho Pesado (Hard Work; NCIT: C95547)"",""Treinamento com Resistência (Resistance Training; NCIT: C154219)"") # secondary_physical_activity_yn 1077"
356,phy_activity_3,tertiary_physical_activity_yn,O participante realiza alguma atividade física terciária?,Atividade física terciária?,Tertiary physical activity?,exercise_vital_sign,evs,dropdown,"0, Não | 1, Alongamento (Stretching; NCIT: C154225) | 2, Aquecimento (Warm-Up; NCIT: C122029) | 3, Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291) | 4, Atividade de Lazer (Leisure Activity; NCIT: C104103) | 5, Boliche (Bowling; NCIT: C172270) | 6, Calistenia (Calisthenics; NCIT: C94739) | 7, Caminhada (Walking) (Walking; NCIT: C73554) | 8, Ciclismo (Bicicleta) (Bicycling; NCIT: C85401) | 9, Corrida leve (Jogging; NCIT: C85398) | 10, Corrida vigorosa (Running; NCIT: C94737) | 11, Dança (Dancing; NCIT: C172269) | 12, Escalada (Climbing; NCIT: C81002) | 13, Levantamento de Peso (Lifting; NCIT: C86567) | 14, Natação (Swimming; NCIT: C94738) | 15, Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795) | 16, Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543) | 17, Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549) | 18, Remada (Seated Row; NCIT: C122031) | 19, Trabalho Leve (Light Work; NCIT: C95545) | 20, Trabalho Pesado (Hard Work; NCIT: C95547) | 21, Treinamento com Resistência (Resistance Training; NCIT: C154219)",,autocomplete,,,[phy_activity_2] <> '' and [phy_activity_2] <> '0',y,Physical Activity (NCIT: C17708),,1,1,1,MR,0,"data$tertiary_physical_activity_yn.factor = factor(data$tertiary_physical_activity_yn,levels=c(""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"")) # tertiary_physical_activity_yn 196","levels(data$tertiary_physical_activity_yn.factor)=c(""Não"",""Alongamento (Stretching; NCIT: C154225)"",""Aquecimento (Warm-Up; NCIT: C122029)"",""Atividade da Vida Diária (Activity of Daily Living; NCIT: C53291)"",""Atividade de Lazer (Leisure Activity; NCIT: C104103)"",""Boliche (Bowling; NCIT: C172270)"",""Calistenia (Calisthenics; NCIT: C94739)"",""Caminhada (Walking) (Walking; NCIT: C73554)"",""Ciclismo (Bicicleta) (Bicycling; NCIT: C85401)"",""Corrida leve (Jogging; NCIT: C85398)"",""Corrida vigorosa (Running; NCIT: C94737)"",""Dança (Dancing; NCIT: C172269)"",""Escalada (Climbing; NCIT: C81002)"",""Levantamento de Peso (Lifting; NCIT: C86567)"",""Natação (Swimming; NCIT: C94738)"",""Operação de Máquinas Pesadas (Operation of Heavy Machinery; NCIT: C168795)"",""Permanecer Fora da Cama (Stay Out of Bed; NCIT: C95543)"",""Realizar Tarefas de rua (ir ao mercado, pagar contas) (Run Errand; NCIT: C95549)"",""Remada (Seated Row; NCIT: C122031)"",""Trabalho Leve (Light Work; NCIT: C95545)"",""Trabalho Pesado (Hard Work; NCIT: C95547)"",""Treinamento com Resistência (Resistance Training; NCIT: C154219)"") # tertiary_physical_activity_yn 1076"
357,exercise_vital_sign_complete,evs_complete,Complete?,Formulário exercise_vital_sign completo?,Form exercise_vital_sign complete?,exercise_vital_sign,evs,radio,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,,1,1,1,MS,1,"data$evs_complete.factor = factor(data$evs_complete,levels=c(""0"",""1"",""2"")) # evs_complete 74","levels(data$evs_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # evs_complete 72"
358,alcoholhistory,alcohol_frequency,O participante consome bebidas alcoólicas frequentemente?,Consumo frequente de álcool?,Frequent alcohol consumption?,consumo_alcool,alcohol use,radio,"0, Nunca: Não consome bebidas alcoólicas | 1, Ocasionalmente: Consumo esporádico, em ocasiões especiais | 3, Regularmente: Consumo em uma base consistente, mas não diariamente | 4, Diariamente: Consumo de álcool todos os dias | 5, Ex-etilista",,,,,,y,,,1,,1,MT,1,"data$alcohol_frequency.factor = factor(data$alcohol_frequency,levels=c(""0"",""1"",""3"",""4"",""5"")) # alcohol_frequency 92","levels(data$alcohol_frequency.factor)=c(""Nunca: Não consome bebidas alcoólicas"",""Ocasionalmente: Consumo esporádico, em ocasiões especiais"",""Regularmente: Consumo em uma base consistente, mas não diariamente"",""Diariamente: Consumo de álcool todos os dias"",""Ex-etilista"") # alcohol_frequency 270"
359,alcoholstoppedage,alcohol_stopped_years_ago,Parou de beber há quantos anos?,Anos desde que parou de beber?,Years since stopped drinking?,consumo_alcool,alcohol use,radio,"1, Menos de 1 ano | 2, 1 a 5 anos | 3, 5 a 10 anos | 4, 10 a 20 anos | 5, Mais de 20 anos",,,,,"[alcoholhistory]=""5""",y,,,1,,1,MU,0,"data$alcohol_stopped_years_ago.factor = factor(data$alcohol_stopped_years_ago,levels=c(""1"",""2"",""3"",""4"",""5"")) # alcohol_stopped_years_ago 108","levels(data$alcohol_stopped_years_ago.factor)=c(""Menos de 1 ano"",""1 a 5 anos"",""5 a 10 anos"",""10 a 20 anos"",""Mais de 20 anos"") # alcohol_stopped_years_ago 125"
360,alcoholyears,years_drinks_alcohol,Há quantos anos o participante consome álcool?,Anos de consumo de álcool,Years of alcohol consumption,consumo_alcool,alcohol use,radio,"1, Menos de 2 anos | 2, 2 a 5 anos | 3, 5 a 10 anos | 4, 10 a 20 anos | 5, Mais de 20 anos",,,,,[alcoholhistory] = '3' or [alcoholhistory] = '4',y,,,1,,1,MV,1,"data$years_drinks_alcohol.factor = factor(data$years_drinks_alcohol,levels=c(""1"",""2"",""3"",""4"",""5"")) # years_drinks_alcohol 98","levels(data$years_drinks_alcohol.factor)=c(""Menos de 2 anos"",""2 a 5 anos"",""5 a 10 anos"",""10 a 20 anos"",""Mais de 20 anos"") # years_drinks_alcohol 121"
361,alcoholtype___1,beer_yn,Tipo de bebida alcoólica consumida (choice=Cerveja),Álcool (Cerveja),Alcohol (Beer),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,MW,1,"data$beer_yn.factor = factor(data$beer_yn,levels=c(""0"",""1"")) # beer_yn 60","levels(data$beer_yn.factor)=c(""Unchecked"",""Checked"") # beer_yn 52"
362,alcoholtype___2,wine_yn,Tipo de bebida alcoólica consumida (choice=Vinho),Álcool (Vinho),Alcohol (Wine),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,MX,1,"data$wine_yn.factor = factor(data$wine_yn,levels=c(""0"",""1"")) # wine_yn 60","levels(data$wine_yn.factor)=c(""Unchecked"",""Checked"") # wine_yn 52"
363,alcoholtype___3,spirit_yn,"Tipo de bebida alcoólica consumida (choice=Cachaça, whisky ou vodka)","Álcool (Cachaça, whisky ou vodka)",Alcohol (Cachaça,consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,MY,1,"data$spirit_yn.factor = factor(data$spirit_yn,levels=c(""0"",""1"")) # spirit_yn 64","levels(data$spirit_yn.factor)=c(""Unchecked"",""Checked"") # spirit_yn 54"
364,alcoholtype___9,alcohol_type_other,Tipo de bebida alcoólica consumida (choice=Outro (especificar)),Álcool (Outro (especificar)),Alcohol (Other,consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,MZ,0,"data$alcohol_type_other.factor = factor(data$alcohol_type_other,levels=c(""0"",""1"")) # alcohol_type_other 82","levels(data$alcohol_type_other.factor)=c(""Unchecked"",""Checked"") # alcohol_type_other 63"
365,alcoholtype___ni,alcohol_type_no_info,Tipo de bebida alcoólica consumida (choice=No information),Álcool (No information),Alcohol (No information),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,NA,0,"data$alcohol_type_no_info.factor = factor(data$alcohol_type_no_info,levels=c(""0"",""1"")) # alcohol_type_no_info 86","levels(data$alcohol_type_no_info.factor)=c(""Unchecked"",""Checked"") # alcohol_type_no_info 65"
366,alcoholtype___unk,alcohol_type_unknown,Tipo de bebida alcoólica consumida (choice=Unknown),Álcool (Unknown),Alcohol (Unknown),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,NB,0,"data$alcohol_type_unknown.factor = factor(data$alcohol_type_unknown,levels=c(""0"",""1"")) # alcohol_type_unknown 86","levels(data$alcohol_type_unknown.factor)=c(""Unchecked"",""Checked"") # alcohol_type_unknown 65"
367,alcoholtype___nask,alcohol_type_not_asked,Tipo de bebida alcoólica consumida (choice=Not asked),Álcool (Not asked),Alcohol (Not asked),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,NC,0,"data$alcohol_type_not_asked.factor = factor(data$alcohol_type_not_asked,levels=c(""0"",""1"")) # alcohol_type_not_asked 90","levels(data$alcohol_type_not_asked.factor)=c(""Unchecked"",""Checked"") # alcohol_type_not_asked 67"
368,alcoholtype___asku,alcohol_type_asked_unknown,Tipo de bebida alcoólica consumida (choice=Asked but unknown),Álcool (Asked but unknown),Alcohol (Asked but unknown),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,ND,0,"data$alcohol_type_asked_unknown.factor = factor(data$alcohol_type_asked_unknown,levels=c(""0"",""1"")) # alcohol_type_asked_unknown 98","levels(data$alcohol_type_asked_unknown.factor)=c(""Unchecked"",""Checked"") # alcohol_type_asked_unknown 71"
369,alcoholtype___inv,alcohol_type_invalid,Tipo de bebida alcoólica consumida (choice=Invalid),Álcool (Invalid),Alcohol (Invalid),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,NE,0,"data$alcohol_type_invalid.factor = factor(data$alcohol_type_invalid,levels=c(""0"",""1"")) # alcohol_type_invalid 86","levels(data$alcohol_type_invalid.factor)=c(""Unchecked"",""Checked"") # alcohol_type_invalid 65"
370,alcoholtype___na,alcohol_type_na,Tipo de bebida alcoólica consumida (choice=Not applicable),Álcool (Not applicable),Alcohol (Not applicable),consumo_alcool,alcohol use,radio,"0, Não | 1, Sim",,,,,,,,,1,,1,NF,0,"data$alcohol_type_na.factor = factor(data$alcohol_type_na,levels=c(""0"",""1"")) # alcohol_type_na 76","levels(data$alcohol_type_na.factor)=c(""Unchecked"",""Checked"") # alcohol_type_na 60"
371,beer,beer_per_week,Quantas latas por semana? (1 lata = 350 ml),Cervejas/semana,Beers per week,consumo_alcool,alcohol use,text,,,integer,,,[alcoholtype(1)]=1,y," @PLACEHOLDER=""número inteiro""",,1,,1,NG,0,,
372,beerdose,beer_dose,Doses por semana,Doses de cerveja/semana,Beer doses per week,consumo_alcool,alcohol use,calc,"round((([beer]*350*0.05*0.789)/14),2)",,,,,"[beer]<>""""",y,,,1,,1,NH,1,,
373,wine,wine_ml_per_week,Quantos ml por semana? (1 garrafa = 750 ml),Vinho/semana (ml),Wine per week (ml),consumo_alcool,alcohol use,text,,,integer,,,[alcoholtype(2)]=1,y," @PLACEHOLDER=""número inteiro""",,1,,1,NI,0,,
374,winedose,wine_dose,Doses por semana,Doses de vinho/sem,Wine doses per week,consumo_alcool,alcohol use,calc,"round((([wine]*0.12*0.789)/14),2)",,,,,"[wine]<>""""",y,,,1,,1,NJ,1,,
375,destilled,distilled_ml_per_week,Quantos ml por semana? (1 dose = 40 ml / 1 corote = 500 ml),Destilados/semana (ml),Spirits per week (ml),consumo_alcool,alcohol use,text,,,integer,,,[alcoholtype(3)]=1,y," @PLACEHOLDER=""número inteiro""",,1,,1,NK,0,,
376,destilleddose,spirit_dose,Doses por semana,Doses de bebida/sem,Spirit doses per week,consumo_alcool,alcohol use,calc,"round((([destilled]*0.4*0.789)/14),2)",,,,,"[destilled]<>""""",y,,,1,,1,NL,1,,
377,alcoholtypeother,alcohol_type_other_specify,Outro (favor especificar),Outro tipo de álcool (especifique),Other alcohol type (specify),consumo_alcool,alcohol use,text,,,,,,[alcoholtype(9)]=1,y,,,1,,1,NM,0,,
378,alcoholtypeotherdose,alcohol_other_doses_per_week,Quantas doses por semana? (1 dose = 14g de álcool),Doses de álcool/semana,Alcohol doses per week,consumo_alcool,alcohol use,text,,,number,,,[alcoholtype(9)]=1,y,,,1,,1,NN,0,,
379,alcoholtotal,alcohol_dose,"Consumo total de álcool por semana, expresso em doses (1 dose = 14g de etanol)",Doses de álcool/semana,Alcohol doses per week,consumo_alcool,alcohol use,calc,"round(sum([alcoholtypeotherdose],[beerdose],[winedose],[destilleddose]),2)",,,,,[alcoholhistory] = '3' or [alcoholhistory] = '4',,"Fonte: The Basics, Defining How Much Alcohol is Too Much, NIAAA",,1,,1,NO,1,,
380,alcoholsignificant,alcohol_significant,Consumo significativo?1 = consumo significativo de álcool0 = consumo não significativo de álcool,Consumo de álcool significativo?,Significant alcohol consumption?,consumo_alcool,alcohol use,calc,"if([alcoholyears]=1, 0, if([sex]=1, if([alcoholtotal]>14, 1, 0), if([alcoholtotal]>21, 1, 0)))",,,,,,,,,1,,1,NP,1,,
381,consumo_alcool_complete,alcohol_complete,Complete?,Formulário consumo_alcool completo?,Form consumo_alcool complete?,consumo_alcool,alcohol use,radio,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,,1,,1,NQ,1,"data$alcohol_complete.factor = factor(data$alcohol_complete,levels=c(""0"",""1"",""2"")) # alcohol_complete 82","levels(data$alcohol_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # alcohol_complete 76"
382,smokehistory,smoke_history,Histórico de tabagismo: Fumou pelo menos 100 cigarros (5 maços) durante a vida?,Histórico de tabagismo,Smoking history,consumo_tabaco,tobacco,radio,"0, Não | 1, Sim, e continua fumando | 2, Sim, mas parou",,,,,,,,,1,,1,NR,1,"data$smoke_history.factor = factor(data$smoke_history,levels=c(""0"",""1"",""2"")) # smoke_history 76","levels(data$smoke_history.factor)=c(""Não"",""Sim, e continua fumando"",""Sim, mas parou"") # smoke_history 85"
383,smokeagestart,age_started_smoking,Idade que começou a fumar (anos):,Idade início fumo,Age started smoking,consumo_tabaco,tobacco,text,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,,1,,1,NS,1,,
384,smokeyears,smoked_years,Número de anos em que fumou cigarros? (anos),Anos de cigarro,Years smoking,consumo_tabaco,tobacco,text,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,,1,,1,NT,1,,
385,cigarettesday,daily_cigarettes,Número médio de cigarros por dia?,Cigarros/dia,Cigarettes per day,consumo_tabaco,tobacco,text,,,number,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,,1,,1,NU,1,,
386,packyears,pack_years,Anos-maço,Anos-maço,Pack-years,consumo_tabaco,tobacco,calc,([cigarettesday]*[smokeyears])/20,,,,,"[smokehistory]=""2"" OR [smokehistory]=""1""",,,,1,,1,NV,1,,
387,smokeagequit,age_quit_smoking,Idade parou de fumar? (anos),Idade parou fumo,Age quit smoking,consumo_tabaco,tobacco,text,,,number,,,"[smokehistory]=""2""",,,,1,,1,NW,1,,
388,consumo_tabaco_complete,tobacco_complete,Complete?,Formulário consumo_tabaco completo?,Form consumo_tabaco complete?,consumo_tabaco,tobacco,radio,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,,1,,1,NX,1,"data$tobacco_complete.factor = factor(data$tobacco_complete,levels=c(""0"",""1"",""2"")) # tobacco_complete 82","levels(data$tobacco_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # tobacco_complete 76"
389,horario,time_1,Horário:,Horário 1,Time 1,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,NY,0,,
390,horario_2,time_2,Horário:,Horário 2,Time 2,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,NZ,0,,
391,horario_3,time_3,Horário:,Horário 3,Time 3,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,OA,0,,
392,horario_4,time_4,Horário:,Horário 4,Time 4,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,OB,0,,
393,horario_5,time_5,Horário:,Horário 5,Time 5,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,OC,0,,
394,horario_6,time_6,Horário:,Horário 6,Time 6,recordatrio_alimentar,diet_recall,text,,NCIT: Time - Code C25207,time,,,,,,,1,,1,OD,0,,
395,alimento,food_1,Alimento:,Alimento 1,Food 1,recordatrio_alimentar,diet_recall,notes,,NCIT: Food - Code C62695,,,,,,,,1,,1,OE,0,,
